year,period,value,updated_at
2002,M10,134.7,2025-01-30T00:00:00Z
2002,M11,143.6,2025-01-30T00:00:00Z
2002,M12,146.5,2025-01-30T00:00:00Z
2003,M01,145.1,2025-01-30T00:00:00Z
2003,M02,147.9,2025-01-30T00:00:00Z
2003,M03,149.3,2025-01-30T00:00:00Z
2003,M04,147.9,2025-01-30T00:00:00Z
2003,M05,142.9,2025-01-30T00:00:00Z
2003,M06,148.7,2025-01-30T00:00:00Z
2003,M07,149.6,2025-01-30T00:00:00Z
2003,M08,158.0,2025-01-30T00:00:00Z
2003,M09,161.9,2025-01-30T00:00:00Z
2003,M10,165.4,2025-01-30T00:00:00Z
2003,M11,180.0,2025-01-30T00:00:00Z
2003,M12,190.6,2025-01-30T00:00:00Z
2004,M01,189.3,2025-01-30T00:00:00Z
2004,M02,194.1,2025-01-30T00:00:00Z
2004,M03,198.9,2025-01-30T00:00:00Z
2004,M04,187.0,2025-01-30T00:00:00Z
2004,M05,170.1,2025-01-30T00:00:00Z
2004,M06,163.7,2025-01-30T00:00:00Z
2004,M07,159.0,2025-01-30T00:00:00Z
2004,M08,156.4,2025-01-30T00:00:00Z
2004,M09,146.3,2025-01-30T00:00:00Z
2004,M10,144.9,2025-01-30T00:00:00Z
2004,M11,142.0,2025-01-30T00:00:00Z
2004,M12,152.6,2025-01-30T00:00:00Z
2005,M01,145.8,2025-01-30T00:00:00Z
2005,M02,152.4,2025-01-30T00:00:00Z
2005,M03,145.1,2025-01-30T00:00:00Z
2005,M04,138.6,2025-01-30T00:00:00Z
2005,M05,138.5,2025-01-30T00:00:00Z
2005,M06,135.4,2025-01-30T00:00:00Z
2005,M07,140.0,2025-01-30T00:00:00Z
2005,M08,137.3,2025-01-30T00:00:00Z
2005,M09,148.3,2025-01-30T00:00:00Z
2005,M10,144.1,2025-01-30T00:00:00Z
2005,M11,149.5,2025-01-30T00:00:00Z
2005,M12,154.7,2025-01-30T00:00:00Z
2006,M01,157.9,2025-01-30T00:00:00Z
2006,M02,147.6,2025-01-30T00:00:00Z
2006,M03,153.1,2025-01-30T00:00:00Z
2006,M04,150.6,2025-01-30T00:00:00Z
2006,M05,141.8,2025-01-30T00:00:00Z
2006,M06,147.5,2025-01-30T00:00:00Z
2006,M07,140.7,2025-01-30T00:00:00Z
2006,M08,145.6,2025-01-30T00:00:00Z
2006,M09,147.1,2025-01-30T00:00:00Z
2006,M10,146.3,2025-01-30T00:00:00Z
2006,M11,159.3,2025-01-30T00:00:00Z
2006,M12,176.5,2025-01-30T00:00:00Z
2007,M01,176.588,2025-01-30T00:00:00Z
2007,M02,190.534,2025-01-30T00:00:00Z
2007,M03,184.878,2025-01-30T00:00:00Z
2007,M04,178.626,2025-01-30T00:00:00Z
2007,M05,183.757,2025-01-30T00:00:00Z
2007,M06,176.265,2025-01-30T00:00:00Z
2007,M07,188.075,2025-01-30T00:00:00Z
2007,M08,196.412,2025-01-30T00:00:00Z
2007,M09,211.646,2025-01-30T00:00:00Z
2007,M10,207.972,2025-01-30T00:00:00Z
2007,M11,214.720,2025-01-30T00:00:00Z
2007,M12,234.018,2025-01-30T00:00:00Z
2008,M01,237.923,2025-01-30T00:00:00Z
2008,M02,238.822,2025-01-30T00:00:00Z
2008,M03,240.073,2025-01-30T00:00:00Z
2008,M04,233.184,2025-01-30T00:00:00Z
2008,M05,217.127,2025-01-30T00:00:00Z
2008,M06,217.185,2025-01-30T00:00:00Z
2008,M07,218.744,2025-01-30T00:00:00Z
2008,M08,209.879,2025-01-30T00:00:00Z
2008,M09,219.475,2025-01-30T00:00:00Z
2008,M10,213.268,2025-01-30T00:00:00Z
2008,M11,213.995,2025-01-30T00:00:00Z
2008,M12,212.819,2025-01-30T00:00:00Z
2009,M01,215.285,2025-01-30T00:00:00Z
2009,M02,207.790,2025-01-30T00:00:00Z
2009,M03,197.655,2025-01-30T00:00:00Z
2009,M04,199.151,2025-01-30T00:00:00Z
2009,M05,178.496,2025-01-30T00:00:00Z
2009,M06,176.952,2025-01-30T00:00:00Z
2009,M07,172.153,2025-01-30T00:00:00Z
2009,M08,182.337,2025-01-30T00:00:00Z
2009,M09,180.093,2025-01-30T00:00:00Z
2009,M10,180.101,2025-01-30T00:00:00Z
2009,M11,191.531,2025-01-30T00:00:00Z
2009,M12,198.747,2025-01-30T00:00:00Z
2010,M01,199.592,2025-01-30T00:00:00Z
2010,M02,204.419,2025-01-30T00:00:00Z
2010,M03,202.397,2025-01-30T00:00:00Z
2010,M04,196.434,2025-01-30T00:00:00Z
2010,M05,178.089,2025-01-30T00:00:00Z
2010,M06,179.397,2025-01-30T00:00:00Z
2010,M07,176.827,2025-01-30T00:00:00Z
2010,M08,183.633,2025-01-30T00:00:00Z
2010,M09,200.526,2025-01-30T00:00:00Z
2010,M10,181.307,2025-01-30T00:00:00Z
2010,M11,200.587,2025-01-30T00:00:00Z
2010,M12,210.791,2025-01-30T00:00:00Z
2011,M01,208.653,2025-01-30T00:00:00Z
2011,M02,204.698,2025-01-30T00:00:00Z
2011,M03,204.357,2025-01-30T00:00:00Z
2011,M04,205.772,2025-01-30T00:00:00Z
2011,M05,201.881,2025-01-30T00:00:00Z
2011,M06,199.274,2025-01-30T00:00:00Z
2011,M07,200.312,2025-01-30T00:00:00Z
2011,M08,210.183,2025-01-30T00:00:00Z
2011,M09,222.806,2025-01-30T00:00:00Z
2011,M10,222.655,2025-01-30T00:00:00Z
2011,M11,221.102,2025-01-30T00:00:00Z
2011,M12,224.215,2025-01-30T00:00:00Z
2012,M01,228.508,2025-01-30T00:00:00Z
2012,M02,213.580,2025-01-30T00:00:00Z
2012,M03,214.704,2025-01-30T00:00:00Z
2012,M04,217.374,2025-01-30T00:00:00Z
2012,M05,204.654,2025-01-30T00:00:00Z
2012,M06,205.608,2025-01-30T00:00:00Z
2012,M07,205.063,2025-01-30T00:00:00Z
2012,M08,221.771,2025-01-30T00:00:00Z
2012,M09,220.269,2025-01-30T00:00:00Z
2012,M10,222.906,2025-01-30T00:00:00Z
2012,M11,224.591,2025-01-30T00:00:00Z
2012,M12,226.670,2025-01-30T00:00:00Z
2013,M01,223.525,2025-01-30T00:00:00Z
2013,M02,225.996,2025-01-30T00:00:00Z
2013,M03,221.889,2025-01-30T00:00:00Z
